Productos,Precio Final
SOLDADOR INVERTER 110/220V 120A KERHER KMI120PRO,"357,99"
SOLDADOR INVERTER 110/220V 135A DWO DWS135,"163,13"
SOLDADOR INVERTER 110/220V 200AMP KERHER KMI205,"648,88"
SOLDADOR INVERTER 110V 120A KERHER KMI121,"244,69"
SOLDADOR INVERTER MIG/MMA110V FIAT FERRARA160,"305,60"
SOPLADORA ASPIRADORA 400 W PRO-SP400,"110,77"
SOPLETE QUEMADOR 370MM BRUFER 83104,"6,71"
SOPLETE QUEMADOR 410MM BRUFER 83105,"7,11"
SOPORTE CORTINERO CURVO NATURAL 1 (PAR),"5,41"
SOPORTE CORTINERO CURVO NATURAL 1/2 (PAR),"2,94"
SOPORTE CORTINERO CURVO NATURAL 3/4 (PAR),"2,90"
SOPORTE CORTINERO CURVO NATURAL 5/8 (PAR) SUF603,"3,45"
SOPORTE CORTINERO ESPANOL CORTO NATURAL 1/2X4.5CM (PAR),"1,83"
SOPORTE CORTINERO ESPANOL DOBLE NATURAL 1/2 (PAR) SUF661,"9,38"
SOPORTE CORTINERO ESPANOL LARGO NATURAL 1/2X6.5CM (PAR) SUF606,"5,87"
SOPORTE CORTINERO EXTENSIBLE NATURAL 1 (PAR) SUF848,"8,66"
SOPORTE CORTINERO EXTENSIBLE NATURAL 1/2 (PAR) SUF845,"7,87"
SOPORTE CORTINERO EXTENSIBLE NATURAL 3/4 (PAR) SUF847,"8,40"
SOPORTE CORTINERO EXTENSIBLE NATURAL 5/8 (PAR) SUF846,"8,03"
SOPORTE CORTINERO PASANTE NATURAL 1/2 (PAR) SUF821,"2,84"
SOPORTE CORTINERO PASANTE NATURAL 3/4 (PAR) SUF825,"3,31"
SOPORTE CORTINERO PASANTE NATURAL 5/8 (PAR) SUF823,"2,86"
SOPORTE CORTINERO RECTO NATURAL 1 (PAR) SUF625,"4,86"
SOPORTE CORTINERO RECTO NATURAL 1/2 (PAR),"1,31"
SOPORTE CORTINERO RECTO NATURAL 3/4 (PAR) SUF624,"3,58"
SOPORTE CORTINERO RECTO NATURAL 5/8 (PAR) SUF623,"3,07"
"SOPORTE GALVANIZADO 1"" PARA CLOSET","1,17"
SPLITTER 1 X 2 SPLS1X2,"7,54"
SPLITTER 1 X 3 SPLS1X3,"10,05"
SPLITTER 1 X 4 SPLS 1X4,"12,14"
SPRAY ASFALTEX SELLADOR ANTICORROSIVO S.Q SQAASFAL 440CC,"5,86"
SPRAY LIMPIADOR GRIFERIA 400CC F.P 12LG02,"5,66"
SPRAY PROTECTOR SQ CONTRA OXIDO,"9,09"
"SPUD P/TANQUE 1 1/2"" BRONCE F.P 08SP15","25,14"
"SPUD P/TANQUE 1"" PLASTICO","2,62"
"SPUD P/TANQUE 1/2"" BRONCE GRI-0395","13,27"
"SPUD P/TANQUE 1/2"" PLASTICO","1,96"
"SPUD P/TANQUE 3/4"" BRONCE GRI-0396","19,30"
"SPUD P/TANQUE 3/4"" PLASTICO","2,20"
STARTER PLASTICO P/LAMP FLUORESCENTE 40W,"0,16"
SUNCHO 12X15 DE 5.20MM PAQUETE DE 20 UNID.,"13,70"
SUNCHO 15X15 DE 5.20MM PAQUETE DE 20 UNID.,"14,69"
SUNCHO 15X20 DE 5.50MM PAQUETE DE 20 UNID.,"17,62"
SUPER ACRILICA SOLINTEX 1/4 GALON BARRO CARIBE,"14,27"
SUPER ACRILICA SOLINTEX 1/4 GALON BLANCO PURO,"14,27"
SUPER ACRILICA SOLINTEX 1/4 GALON GIRASOL,"14,27"
SUPER ACRILICA SOLINTEX 1/4 GALON NARANJA,"14,27"
SUPER ACRILICA SOLINTEX 1/4 GALON NEGRO,"14,27"
SUPER ACRILICA SOLINTEX 1/4 GALON ORO AZTECA,"14,27"
SUPER ACRILICA SOLINTEX 1/4 GALON ROJO PURO,"14,27"
SUPER ACRILICA SOLINTEX GALON AZUL MEDITERRANEO 351,"49,94"
SUPER ACRILICA SOLINTEX GALON AZUL SERENO 354,"49,94"
SUPER ACRILICA SOLINTEX GALON BLANCO ANTIGUO 303,"49,94"
SUPER ACRILICA SOLINTEX GALON BLANCO LINO 309,"49,94"
SUPER ACRILICA SOLINTEX GALON GREIGE AGATA 382,"49,94"
SUPER ACRILICA SOLINTEX GALON GREIGE PALADIO 383,"49,94"
SUPER ACRILICA SOLINTEX GALON GRIS ONIX 380,"49,94"
SUPER ACRILICA SOLINTEX GALON GRIS PLATINO 381,"49,94"
SUPER ACRILICA SOLINTEX GALON MARFIL CLASICO 312,"49,94"
SUPER ACRILICA SOLINTEX GALON MARFIL LUMINOSO 315,"49,94"
SUPER ACRILICA SOLINTEX GALON NARANJA 346,"49,94"
SUPER ACRILICA SOLINTEX GALON ORO AZTECA 342,"49,94"
SUPER ACRILICA SOLINTEX GALON ROJO PURO,"49,94"
SUPER ACRILICA SOLINTEX GALON ROSA REAL 318,"49,94"
SUPER ACRILICA SOLINTEX GALON SALMON 324,"49,94"
SUPER ESMALTE SOLINTEX 1/4 GALON BLANCO 605,"16,70"
SUPER ESMALTE SOLINTEX 1/4 GALON BLANCO MATE 690,"16,04"
SUPER ESMALTE SOLINTEX 1/4 GALON NEGRO 680,"13,99"
SUPER ESMALTE SOLINTEX 1/4 GALON NEGRO MATE 685,"14,92"
SUPER ESMALTE SOLINTEX 1/4 GALON NEGRO SATINADO 681,"14,91"
SUPER ESMALTE SOLINTEX GALON BLANCO MATE 690,"62,16"
SUPER ESMALTE SOLINTEX GALON NEGRO 680,"53,69"
SUPER ESMALTE SOLINTEX GALON NEGRO MATE 685,"57,57"
SUPERSOL SUPER A GALON 00600100101999,"23,98"
SUPERSOL SUPER A LITRO 00600100102999,"7,76"
"SURTIDOR ANTISIFON W.C. CORTO 8"" VENCERAMICA","12,41"
"SURTIDOR ANTISIFON W.C. LARGO 9"" VENCERAMICA","12,41"
"SURTIDOR ANTISIFON W.C. P/ONE PIECE 8"" VENCERAMICA","12,41"
SWITCH 5A 250V INO-INC 50X21MM ANDELI CON13178,"13,82"
SWITH BOTON VARIOS COLORES 158A,"6,25"
SWITH CORNETA OJO DE VACA 159,"11,12"
SWITH DE HALAR GRANDE 75 AMP 152,"11,82"
SWITH DE HALAR SENCILLO 148,"19,98"
SWITH P/DREMEL 3000 2610013852 / 908160,"31,73"
SWITH P/ESMERIL 9002 / 9004 SKIL 160720032Y / 907899,"2,84"
SWITH PORF 3 PATAS ON/OF/ON 3 PASES 201ABOMB,"10,11"
SWITH PORF 6 PATAS ON/OF/ON 151B,"11,73"
SWITH PORF 6 PATAS ON/OF/ON 151DB,"11,22"
SWITH PORF 6 PATAS ON/ON KN3C202AA 201B,"11,22"
SWITH ROCKER 3 PATAS ON/OF/ON 12V 317A,"6,90"
TABELON ALIVEN C/PESTANA 60 X 20 X 8 CM UND,"2,61"
TABELON ARCILLA 6 X 20 X 80 CM UND,"2,20"
TABELON ARCILLA 8 X 20 X 80 CM UND,"2,22"
TABLA P/PARRILLA 20X30X2CM 4001,"5,57"
TABLA P/PARRILLA 22X35X2CM 4024,"7,09"
TABLA P/PICAR C/MANGO 35X20X20CM 4006,"6,28"
TABLA P/PICAR C/MANGO PEQUENA 29X14X20CM 4008,"3,94"
TABLERO RESIDENCIAL 12 CIRCUITOS CON PUERTA VITRON 03-018-071,"49,26"
TABLERO RESIDENCIAL 12 CIRCUITOS CON TAPA LD-1018,"45,76"
TABLERO RESIDENCIAL 4 CIRCUITOS CON PUERTA VITRON 03-018-065,"22,69"
TABLERO RESIDENCIAL 6 CIRCUITOS CON PUERTA VITRON 03-018-067,"28,59"
TABLERO RESIDENCIAL 8 CIRCUITOS CON PUERTA VITRON 03-016-069,"34,73"
TABLERO RESIDENCIAL 8 CIRCUITOS CON TAPA LD-1017,"31,10"
TABLILLA ATACAMA MATIZADA 7X25(PAQUETE 56PZAS 1MT2),"20,01"
TABLILLA DOBLE CORCHO CARONI 5 X 25 X UND,"1,36"
TABLILLA DOBLE CORCHO NEVERI 5 X 25 X UND,"1,13"
TABLILLA DOBLE ROJA 5 X 25 X UND,"0,52"
TABURETE GRANDE NOGAL,"34,80"
"TALADRO BOSCH 3/8"" S/PERC GBM10RE 600W 865700","216,53"
"TALADRO ENERGY ATORNILLADOR RECG.3/8""SDD10/12BV","86,35"
"TALADRO PERCUTOR 1/2"" 6555 570W SKIL 868235","89,02"
"TALADRO PERCUTOR 1/2"" 710W EXXEL PN202421","100,41"
"TALADRO PERCUTOR 1/2"" GSB16RE 750W BOSCH 865692","204,51"
"TALADRO PERCUTOR 1/2"" REVER. GSB13RE BOSCH 865669","136,30"
"TALADRO PERCUTOR 3/8"" BLACKYDECKER TM500","204,25"
"TALADRO REVERSIBLE 3/8"" BOSCH 450W GSB450 MAS 3 865614","111,33"
"TALADRO REVERSIBLE 3/8"" INGCO 500W UED50028","45,44"
"TALADRO ROTATIVO 3/8"" 500W EXXEL PN202422","73,75"
TAMBOR ABIERTO 208LTS AZUL TBA-0208-64 Q-TANQUE,"96,25"
TAMBOR CERRADO 208LTS AZUL TBC-0208-64 Q-TANQUE,"148,45"
TAMBOR D/EMBRAGUE 7T P/DESMAL CG430/520-55,"6,95"
TAMBOR D/EMBRAGUE 9T P/DESMAL CG430/520-56,"6,16"
TAMBOR D/LIJAR DE 1/2 PUL 2615000407 DREMEL 863049,"4,71"
TAMBOR SANTA MARIA 2 PUL P/PORTON,"22,95"
TANQUE APARTAMENTO 540 LTS. CON BOMBA 1/2 HP MARDAL,"524,99"
TANQUE D/GASOL P/DESMAL 43/52CC CG430/520-34,"10,44"
TANQUE DECOGLASS EL LIDER AZUL 1750 LTS,"345,56"
TANQUE DECOGLASS EL LIDER AZUL 2000 LTS,"453,91"
TANQUE DECOGLASS EL LIDER AZUL 5000 LTS,"1172,70"
TANQUE DECOGLASS EL LIDER AZUL 600 LTS,"154,41"
TANQUE DECOGLASS MEGATANK HORIZONTAL AZUL 1000 LTS,"553,74"
TANQUE DECOGLASS MEGATANK HORIZONTAL AZUL 3000 LTS,"1690,50"
TANQUE DECOGLASS SUPER LIDER CON TAPA 1200 LTS.,"359,40"
TANQUE DECOGLASS SUPER LIDER CON TAPA 1500 LTS.,"439,26"
TANQUE EQUIPO KIT TANQUE 520 LTS BLANCO C/CONEXION 1/2,"362,50"
TANQUE EQUIPO KIT TANQUE 540 LTS BLANCO C/CONEXION 1/2,"362,50"
TANQUE EQUIPO KIT TANQUE 560 LTS AZUL C/CONEXION 1/2,"362,50"
TANQUE METALICO P/HIDRONEUMATICO 20 GALONES,"313,20"
TANQUE Q-TANQUE CILINDRICO LISO BLANCO 550LTS TLL-0550-10,"166,00"
TANQUE Q-TANQUE CILINDRICO LISO NEGRO 550LTS TLL-0550-10,"166,00"
TANQUE Q-TANQUE CONICO LISO AZUL 1300LTS TCL-1300-64,"320,57"
TANQUE Q-TANQUE CONICO LISO AZUL 1900LTS TCL-1900-64,"424,39"
TANQUE Q-TANQUE HORIZONTAL AZUL 1000LTS THR-1000-64,"736,28"
TANQUE RESINCA BLANCO 440 LTS P/APARTAMENTO,"188,44"
TANQUE RESINCA BLANCO 460 LTS P/APARTAMENTO,"196,71"
TANQUE RESINCA BLANCO 540 LTS P/APARTAMENTO,"209,93"
TANQUE RESINCA BLANCO 560 LTS P/APARTAMENTO,"218,20"
TANQUE RESINCA DISPENSER AQUA 35 GAL (140 LTS) AZUL,"100,83"
TANQUE RESINCA EUROTANQUE 1100 LTS,"287,62"
TANQUE RESINCA EUROTANQUE 1300 LTS,"320,68"
TANQUE RESINCA EUROTANQUE 3000 LTS,"776,91"
TANQUE RESINCA EUROTANQUE 5000 LTS,"1358,77"
TANQUE RESINCA GRIS 440 LTS P/APARTAMENTO,"188,44"
TANQUE RESINCA GRIS 460 LTS P/APARTAMENTO,"196,71"
TANQUE RESINCA JUMBO DOBLE CAPA 1200LTS NEGRO,"495,90"
TANQUE RESINCA SUPERTANQUE DOBLE CAPA 1500 LTS,"415,86"
TANQUE WC DUNCAN CON BALNCIN PLASTICO BLANCO VENCERAMICA,"58,55"
TANQUE WC PRADO P BOTON BLANCO GLACIAR VENCERAMICA,"91,35"
TANQUE WC ROTONDO P BOTON BLANCO GLACIAR VENCERAMICA,"58,55"
TAPA BAKELITA P/INTERRUPTOR MARFIL TAP-28,"0,83"
TAPA CIEGA P/CAJETIN 4 X 2 BLANCA LD-593-B,"2,25"
TAPA CIEGA P/CAJETIN 4 X 2 METAL,"1,16"
TAPA CIEGA P/CAJETIN 4 X 4 BLANCA,"1,89"
TAPA CIEGA P/CAJETIN 4 X 4 METAL,"1,62"
TAPA CIEGA P/CAJETIN REDONDA 4 METAL CON HUECO,"1,74"
TAPA CIEGA P/CAJETIN REDONDA PLASTICA TUBRICA,"0,99"
TAPA D/ARRANQUE CUAD. P/DESMALE.CG430/520-22,"6,86"
TAPA D/ARRANQUE P/MOTOR 5.5HP GX160/GX200-30,"11,67"
TAPA D/ARRANQUE PASADOR D/ACERO CG430/520-21,"8,11"
TAPA D/ARRANQUE T/CORBATIN DESMALE.CG430/520-20,"9,79"
TAPA D/EMBRAGUE P/DESMAL 43/52CC CG430/520-52,"7,06"
TAPA D/MOTOR P/DESMAL 43/52CC CG430/520-44,"8,61"
TAPA FINAL 1 1/2 PUL (50MM) TERMOFUSION P00340,"0,81"
TAPA FINAL 1 1/4 PUL (40MM) TERMOFUSION P00339,"0,38"
TAPA FINAL 1 PUL (32MM) TERMOFUSION P00338,"0,25"
TAPA FINAL 1/2 PUL (20MM) TERMOFUSION P00336,"0,12"
TAPA FINAL 2 1/2 PUL (75MM) TERMOFUSION P00342,"2,32"
TAPA FINAL 2 PUL (63MM) TERMOFUSION P00341,"1,31"
TAPA FINAL 3/4 PUL (25MM) TERMOFUSION P00337,"0,17"
"TAPA GALVANIZADAS 1""","2,20"
"TAPA GALVANIZADAS 1.1/2""","4,45"
"TAPA GALVANIZADAS 1.1/4""","4,19"
"TAPA GALVANIZADAS 1/2""","1,38"
"TAPA GALVANIZADAS 2""","8,74"
"TAPA GALVANIZADAS 3/4""","1,89"
TAPA GOTERA STOP FLEX ORCA 1/4 GALON A-020700,"15,92"
TAPA GOTERA STOP FLEX ORCA GALON A-020500,"61,49"
TAPA HUECO P/FREGADERO C/TORNILLO HIDROTEK,"2,55"
TAPA P/FREGADERO ACERO INOXIDABLE,"2,16"
TAPA P/TANQUE D/GASOL P/DESMAL CG430/520-35,"1,86"
TAPA P/TOMA DOBLE INTERPERIE,"2,42"
TAPA P/TOMA SENCILLA INTERPERIE,"6,28"
TAPA PARA CANAL GALVANIZADO,"2,51"
TAPA PARA TOMA 270 BLANCA,"0,38"
TAPA PARA TOMA 270 NARANJA,"2,09"
TAPA PARA TOMA DOBLE 270 MARFIL,"0,78"
TAPA PARA TOMA DOBLE ECONOMICA METALICA,"0,51"
"TAPA PLASTICA AGUA CALIENTE 1/2"" TRUBRICA","0,38"
"TAPA PLASTICA AGUA FRIA 1/2""","0,55"
"TAPA PLASTICA AGUA FRIA 3/4""","0,07"
"TAPA PVC 1 1/2"" A/F ROSCAR PAVCO","1,77"
"TAPA PVC 1"" A/F PEGAR PAVCO","0,99"
"TAPA PVC 1/2"" A/F PEGAR PAVCO","0,55"
"TAPA PVC 1/2"" A/F ROSCAR PAVCO","0,51"
"TAPA PVC 1/2"" A/F ROSCAR TUBRICA","0,38"
"TAPA PVC 2"" A/F PEGAR PAVCO","2,51"
"TAPA PVC 2"" A/F ROSCAR TUBRICA","2,09"
TAPA PVC 3 REGISTRO PAVCO,"2,83"
"TAPA PVC 3/4"" A/F PEGAR PAVCO","0,77"
"TAPA PVC 3/4"" A/F ROSCAR PAVCO","0,77"
"TAPA PVC 3/4"" A/F ROSCAR TUBRICA","0,51"
"TAPA PVC 4"" REGISTRO TUBRICA","3,51"
"TAPA REGISTRO CROMADA 3""","13,14"
"TAPA REGISTRO DE BRONCE 3""","12,12"
"TAPA REJILLA ANTICUCARACHA BRONCE 2""","7,32"
"TAPA REJILLA CIEGA BRONCE 2""","7,48"
"TAPA REJILLA STANDAR 2"" BRONCE","5,31"
TAPA SENCILLA PARA TOMA 3 X 20 ACERO INOX TIE002,"3,06"
TAPA SENCILLA PARA TOMA 3P X 20A BLANCA,"3,39"
TAPA SENCILLA PARA TOMA 3P X 20A MARFIL,"3,39"
TAPON CORTO ROSCADO 1/2 PUL (20MM) TERMOFUSION P00345,"0,81"
TAPON CORTO ROSCADO 3/4 PUL (25MM) TERMOFUSION P00346,"0,93"
"TAPON GALVANIZADO 1""","2,52"
"TAPON GALVANIZADO 1.1/2""","3,25"
"TAPON GALVANIZADO 1.1/4""","2,00"
"TAPON GALVANIZADO 1/2""","1,42"
"TAPON GALVANIZADO 2""","5,21"
"TAPON GALVANIZADO 3/4""","0,93"
"TAPON PVC 1"" A/F ROSCAR PAVCO AMANCO","1,26"
"TAPON PVC 2"" A/N ROSCAR PAVCO","2,26"
"TAPON PVC 3"" A/N PEGAR PAVCO","2,83"
"TAPON PVC 3/4"" A/F ROSCAR PAVCO","0,77"
"TAPON PVC 8""","9,76"
TARRAJA P/TUBO PVC 1/2-3/4-1 EXXEL 38-049,"13,02"
TECNOCONCRET SACO 25KG,"9,48"
TEE GALVANIZADA 1 1/2',"8,42"
TEE GALVANIZADA 1 1/4',"10,56"
"TEE GALVANIZADA 1""","2,71"
"TEE GALVANIZADA 1/2""","1,62"
"TEE GALVANIZADA 2""","14,08"
"TEE GALVANIZADA 3""","84,69"
"TEE GALVANIZADA 3/4""","2,65"
"TEE GALVANIZADA 4""","97,72"
TEE GALVANIZADA REDUCCION 1 1/2 A 1,"9,61"
TEE GALVANIZADA REDUCCION 1 1/2 PUL A 1/2,"6,47"
TEE GALVANIZADA REDUCCION 1 A 1/2,"3,58"
TEE GALVANIZADA REDUCCION 2 A 1,"20,30"
TEE GALVANIZADA REDUCCION 2 A 3/4,"20,30"
TEE GALVANIZADA REDUCCION 3/4 A 1/2,"3,47"
"TEE LISA 1 1/2"" (50MM) TERMOFUSION P00354","2,02"
"TEE LISA 1 1/4"" (40MM) TERMOFUSION P00353","1,13"
"TEE LISA 1"" (32MM) TERMOFUSION P00352","0,74"
"TEE LISA 1/2"" (20MM) TERMOFUSION P00350","0,25"
"TEE LISA 2"" (63MM) TERMOFUSION P00355","3,64"
"TEE LISA 3/4"" (25MM) TERMOFUSION P00351","0,38"
TEE LISA REDUCCION 1 1/2X1 (50X32) TERMOFUSION P00365,"1,33"
TEE LISA REDUCCION 1 1/2X1 1/4 (50X40) TERMOFUSION P00366,"1,57"
TEE LISA REDUCCION 1 1/2X1/2 (50X20) TERMOFUSION P00363,"1,25"
TEE LISA REDUCCION 1 1/2X3/4 (50X25) TERMOFUSION P00364,"1,31"
TEE LISA REDUCCION 1 1/4X1 (40X32) TERMOFUSION P00362,"0,87"
TEE LISA REDUCCION 1 1/4X1/2 (40X20) TERMOFUSION P00360,"0,68"
TEE LISA REDUCCION 1 1/4X3/4 (40X25) TERMOFUSION P00361,"0,77"
TEE LISA REDUCCION 1X1/2 (32X20) TERMOFUSION P00358,"0,51"
TEE LISA REDUCCION 1X3/4 (32X25) TERMOFUSION P00359,"0,55"
TEE LISA REDUCCION 2X1 (63X32) TERMOFUSION P00376,"2,33"
TEE LISA REDUCCION 2X1 1/2 (63X50) TERMOFUSION P00378,"2,64"
TEE LISA REDUCCION 2X1 1/4 (63X40) TERMOFUSION P00377,"2,51"
TEE LISA REDUCCION 2X1/2 (63X20) TERMOFUSION P00374,"1,83"
TEE LISA REDUCCION 2X3/4 (63X25) TERMOFUSION P00375,"2,15"
TEE LISA REDUCCION 3/4X1/2 (25X20) TERMOFUSION P00372,"0,36"
"TEE PVC 10"" A/N DP","17,56"
"TEE PVC 2"" A/N PAVCO DIM C-E","2,71"
"TEE PVC 2"" TUBRICA","2,26"
"TEE PVC 3"" CONECTANDO","3,73"
"TEE PVC 3"" PAVCO DIM C-E","7,73"
"TEE PVC 4"" ECONOMICA","8,21"
"TEE PVC 4"" PAVCO","14,40"
"TEE PVC 6"" TUBRICA","27,52"
"TEE PVC 8"" A/N DP","14,04"
"TEE PVC DOBLE 2"" PAVCO","2,77"
"TEE PVC DOBLE 3"" PAVCO","6,66"
"TEE PVC PARA AGUA CALIENTE 1/2"" PAVCO","0,93"
"TEE PVC PARA AGUA CALIENTE 1/2"" TUBRICA","0,44"
"TEE PVC PARA AGUA FRIA 1 1/2"" TUBRICA","3,64"
"TEE PVC PARA AGUA FRIA 1"" PAVCO PARA ROSCAR","2,44"
"TEE PVC PARA AGUA FRIA 1"" TUBRICA","1,77"
"TEE PVC PARA AGUA FRIA 1/2"" PARA ROSCAR","0,93"
"TEE PVC PARA AGUA FRIA 1/2"" TUBRICA","0,77"
"TEE PVC PARA AGUA FRIA 2 1/2"" PAVCO","11,56"
"TEE PVC PARA AGUA FRIA 3"" TUBRICA","25,64"
"TEE PVC PARA AGUA FRIA 3/4"" CTV-B-12","1,09"
"TEE PVC PARA AGUA FRIA 3/4"" ROSCADA","1,04"
"TEE PVC PARA AGUA FRIA 3/4"" TUBRICA","1,02"
"TEE PVC PARA AGUA FRIA 4"" TUBRICA","42,70"
TEE PVC REDUCCION 3 X 2 PAVCO,"5,84"
TEE PVC REDUCCION 3/4 A 1/2 A/F PAVCO,"1,17"
TEE PVC REDUCCION 3/4 A 1/2 A/F ROSCAR PAVCO,"1,15"
TEE PVC REDUCCION 4 X 2 A/N PAVCO,"10,41"
TEE PVC REDUCCION 4 X 3 A/N PAVCO,"11,03"
TEE PVC REDUCCION 4 X 3 TUBRICA,"7,21"
TEE RAPIDA P/RIEGO 20MM,"1,99"
TEE RAPIDA P/RIEGO 25MM,"2,45"
TEE RAPIDA P/RIEGO 32MM,"9,11"
TEE ROSCA HEMBRA 1 X 1 PUL (32 X 1) TERMOFUSION P00391,"4,83"
TEE ROSCA HEMBRA 1/2 X 1/2 PUL (20 X 1/2) TERMOFUSION P00388,"1,64"
TEE ROSCA HEMBRA 3/4 X 3/4 PUL (25 X 3/4) TERMOFUSION P00389,"2,26"
TEE ROSCA MACHO 1 X 1 (32 X 1) TERMOFUSION P00398,"4,16"
TEE ROSCA MACHO 1/2 X 1/2 (20 X 1/2) TERMOFUSION P00395,"2,26"
TEE ROSCA MACHO 3/4 X 3/4 (25 X 3/4) TERMOFUSION P00397,"3,77"
"TEFLON ECONOMICO 1/2""","0,38"
TEFLON LIQUIDO SELLADOR D/ROSCA 118ML PERMATEX,"21,88"
"TEFLON PROFESIONAL 3/4"" X 15 MTS ROLLO","1,99"
TEIPE 3M 3/4 X 18MTS MOD. 165 AMARILLO,"4,67"
TEIPE 3M 3/4 X 18MTS MOD. 165 NEGRO,"5,09"
TEIPE 3M 3/4 X 18MTS MOD. 166 AZUL,"5,47"
TEIPE 3M 3/4 X 18MTS MOD. 167 BLANCO,"4,67"
TEIPE 3M 3/4 X 18MTS MOD. 169 ROJO,"4,67"
TEIPE 3M 3/4 X 18MTS MOD. 169 VERDE,"4,67"
TEIPE 3M 3/4 X 20MTS SCOTCH N27 FIBRA VIDRIO,"35,82"
TEIPE 3M 3/4 X 23.1MTS SCOTCH N33,"22,62"
TEIPE 3M N-23 9MTS ALTA TENSION,"62,21"
TEIPE COBRA 3/4X18MTS TEI-01,"2,64"
TEIPE PERFO ENGOMADO #28,"22,62"
TEJAS CARIBE UND,"1,32"
TEJAS HEXAGONALES BITUPLAST VERDES (3 MT ²),"65,87"
TEJAS HEXAGONALES ROJO SL( EDIL) 3 MTS. 40500323,"75,92"
TELA REFUERZO 0.15 X 25MTS TR-50 P00048,"4,94"
TELA REFUERZO 1.10 MTS ANCHO POR METRO TR-50 P00044 (ROLLO 100 MTS),"1,90"
TELA REFUERZO ORCA 1.10X50MTS A-091100,"176,73"
TELA REFUERZO SUPER A 1.10X50MTS,"125,93"
TELA SOMBRA NEGRO 80% X 4.00 MTS ANCHO X MTS (100MTS ROLLO),"5,28"
TELA SOMBRA NEGRO 90% 2M DE ANCHOXMETRO EXXEL PN202301,"4,06"
TELA SOMBRA VERDE 70% 1.80 M DE ANCHOXMETRO TRICAL(ROLLO 30MTS),"10,25"
TELA SOMBRA VERDE 80% 1.22 M DE ANCHOXMETRO TRICAL(ROLLO 30MTS),"6,86"
"TENAZA CABILLERA 8"" EXXEL 00-037-003 / 20-030","15,37"
"TENAZA CABILLERA 8"" TRUPER 17381","30,03"
TENDEDERO RECTRACTIL ACER/INOX P/ROPA HR-319,"9,70"
"TENSOR DE GUAYA OJO Y GANCHO 1/2""","6,18"
"TENSOR DE GUAYA OJO Y GANCHO 1/4""","1,51"
"TENSOR DE GUAYA OJO Y GANCHO 3/8""","7,73"
TENSOR DE GUAYA OJO Y GANCHO 5/16,"3,02"
TERMINAL 017,"0,26"
TERMINAL 070,"2,32"
TERMINAL 081,"5,48"
TERMINAL 092,"0,77"
TERMINAL 093,"2,09"
TERMINAL 101,"1,38"
TERMINAL ANILLO 1/2 103,"5,09"
TERMINAL ANILLO 1/2 AMARILLO 027,"1,73"
TERMINAL ANILLO 1/2 COBRE 058,"2,52"
TERMINAL ANILLO 1/4 COBRE 120,"1,81"
TERMINAL ANILLO 1/4 LATON 118,"0,77"
TERMINAL ANILLO 1/4 ROJO 004,"0,36"
TERMINAL ANILLO 1/4 S/AISLANT 056,"1,02"
TERMINAL ANILLO 1/4 S/AISLANT 089,"4,68"
TERMINAL ANILLO 1/8 AMARILLO 021T,"0,45"
TERMINAL ANILLO 1/8 AZUL 038,"0,77"
TERMINAL ANILLO 1/8 LATON 114,"0,77"
TERMINAL ANILLO 1/8 ROJO 001,"0,77"
TERMINAL ANILLO 100,"2,76"
TERMINAL ANILLO 3/16 AMARILLO 023,"1,02"
TERMINAL ANILLO 3/16 AZUL 040,"1,02"
TERMINAL ANILLO 3/16 ROJO 003,"0,77"
TERMINAL ANILLO 3/16 S/AISLANT 055,"0,46"
TERMINAL ANILLO 3/8 109,"13,69"
TERMINAL ANILLO 3/8 AMARILLO 026,"1,46"
TERMINAL ANILLO 3/8 S/AISLANT 057,"1,02"
TERMINAL ANILLO 3/8 S/AISLANT 076T,"1,58"
TERMINAL ANILLO 3/8 S/AISLANT 102,"5,09"
TERMINAL ANILLO 5/16 AZUL 042,"1,26"
TERMINAL ANILLO 5/16 LATON 110,"1,26"
TERMINAL ANILLO 5/16 ROJO 005,"0,36"
TERMINAL ANILLO 5/32 039,"1,02"
TERMINAL ANILLO 5/32 ROJO 002,"0,77"
TERMINAL ANILLO 5/32 S/AISLANT 068,"1,42"
TERMINAL ANILLO 5/32 S/AISLANT 074BT,"0,51"
TERMINAL ANILLO BATERIA LATON 072,"1,06"
TERMINAL ANILLO CANON 3/8 175,"11,79"
TERMINAL ANILLO COBRE 1/2 099,"12,77"
TERMINAL ANILLO COBRE 3/16 119,"1,42"
TERMINAL ANILLO COBRE 3/8 122,"2,03"
TERMINAL ANILLO COBRE 3/8 123,"2,52"
TERMINAL ANILLO COBRE 3/8 CORTO 116,"3,06"
TERMINAL ANILLO S/AISLANT 069,"1,02"
TERMINAL ANILLO TUBULAR 1/2 S/AIS 080,"7,96"
TERMINAL ANILLO TUBULAR 1/2 S/AIS 084BT,"13,82"
TERMINAL ANILLO TUBULAR 3/8 S/AIS 083,"16,75"
TERMINAL ANILLO TUBULAR S/AISLANT 077,"2,23"
TERMINAL ANILL-TUB 1/2 S/AISLANT 085,"23,06"
TERMINAL ARRANQUE COBRE 3/8 153,"2,52"
TERMINAL AZUL MACHO 3/16,"0,16"
TERMINAL BUJIA RECTO ACERO 124,"1,42"
TERMINAL CAPUCHON 018B,"1,58"
TERMINAL CAPUCHON AZUL 019T,"0,22"
TERMINAL CAPUCHON GRIS 020,"1,38"
